,vol,Date_utc
6929,,2021-04-28 20:00:00+00:00
6930,,2021-04-29 20:00:00+00:00
6931,,2021-04-30 20:00:00+00:00
6932,,2021-05-03 20:00:00+00:00
6933,,2021-05-04 20:00:00+00:00
6934,,2021-05-05 20:00:00+00:00
6935,,2021-05-06 20:00:00+00:00
6936,,2021-05-07 20:00:00+00:00
6937,,2021-05-10 20:00:00+00:00
6938,,2021-05-11 20:00:00+00:00
6939,,2021-05-12 20:00:00+00:00
6940,,2021-05-13 20:00:00+00:00
6941,,2021-05-14 20:00:00+00:00
6942,,2021-05-17 20:00:00+00:00
6943,,2021-05-18 20:00:00+00:00
6944,,2021-05-19 20:00:00+00:00
6945,,2021-05-20 20:00:00+00:00
6946,,2021-05-21 20:00:00+00:00
6947,,2021-05-24 20:00:00+00:00
6948,,2021-05-25 20:00:00+00:00
6949,,2021-05-26 20:00:00+00:00
6950,,2021-05-27 20:00:00+00:00
6951,,2021-05-28 20:00:00+00:00
6952,,2021-06-01 20:00:00+00:00
6953,,2021-06-02 20:00:00+00:00
6954,,2021-06-03 20:00:00+00:00
6955,,2021-06-04 20:00:00+00:00
6956,,2021-06-07 20:00:00+00:00
6957,,2021-06-08 20:00:00+00:00
6958,,2021-06-09 20:00:00+00:00
6959,,2021-06-10 20:00:00+00:00
6960,,2021-06-11 20:00:00+00:00
6961,,2021-06-14 20:00:00+00:00
6962,,2021-06-15 20:00:00+00:00
6963,,2021-06-16 20:00:00+00:00
6964,,2021-06-17 20:00:00+00:00
6965,,2021-06-18 20:00:00+00:00
6966,,2021-06-21 20:00:00+00:00
6967,,2021-06-22 20:00:00+00:00
6968,,2021-06-23 20:00:00+00:00
6969,,2021-06-24 20:00:00+00:00
6970,,2021-06-25 20:00:00+00:00
6971,,2021-06-28 20:00:00+00:00
6972,,2021-06-29 20:00:00+00:00
6973,,2021-06-30 20:00:00+00:00
6974,,2021-07-01 20:00:00+00:00
6975,,2021-07-02 20:00:00+00:00
6976,,2021-07-06 20:00:00+00:00
6977,,2021-07-07 20:00:00+00:00
6978,,2021-07-08 20:00:00+00:00
6979,,2021-07-09 20:00:00+00:00
6980,,2021-07-12 20:00:00+00:00
6981,,2021-07-13 20:00:00+00:00
6982,,2021-07-14 20:00:00+00:00
6983,,2021-07-15 20:00:00+00:00
6984,,2021-07-16 20:00:00+00:00
6985,,2021-07-19 20:00:00+00:00
6986,,2021-07-20 20:00:00+00:00
6987,,2021-07-21 20:00:00+00:00
6988,,2021-07-22 20:00:00+00:00
6989,,2021-07-23 20:00:00+00:00
6990,,2021-07-26 20:00:00+00:00
6991,,2021-07-27 20:00:00+00:00
6992,,2021-07-28 20:00:00+00:00
6993,,2021-07-29 20:00:00+00:00
6994,,2021-07-30 20:00:00+00:00
6995,,2021-08-02 20:00:00+00:00
6996,,2021-08-03 20:00:00+00:00
6997,,2021-08-04 20:00:00+00:00
6998,,2021-08-05 20:00:00+00:00
6999,,2021-08-06 20:00:00+00:00
7000,,2021-08-09 20:00:00+00:00
7001,,2021-08-10 20:00:00+00:00
7002,,2021-08-11 20:00:00+00:00
7003,,2021-08-12 20:00:00+00:00
7004,,2021-08-13 20:00:00+00:00
7005,,2021-08-16 20:00:00+00:00
7006,,2021-08-17 20:00:00+00:00
7007,,2021-08-18 20:00:00+00:00
7008,,2021-08-19 20:00:00+00:00
7009,,2021-08-20 20:00:00+00:00
7010,,2021-08-23 20:00:00+00:00
7011,,2021-08-24 20:00:00+00:00
7012,,2021-08-25 20:00:00+00:00
7013,,2021-08-26 20:00:00+00:00
7014,,2021-08-27 20:00:00+00:00
7015,,2021-08-30 20:00:00+00:00
7016,,2021-08-31 20:00:00+00:00
7017,,2021-09-01 20:00:00+00:00
7018,,2021-09-02 20:00:00+00:00
7019,0.06703944761245385,2021-09-03 20:00:00+00:00
7020,0.06704171611010158,2021-09-07 20:00:00+00:00
7021,0.06712923232147873,2021-09-08 20:00:00+00:00
7022,0.06718590772427423,2021-09-09 20:00:00+00:00
7023,0.06718050755987091,2021-09-10 20:00:00+00:00
7024,0.06718052692075162,2021-09-13 20:00:00+00:00
7025,0.06729281295484248,2021-09-14 20:00:00+00:00
7026,0.06735370973654009,2021-09-15 20:00:00+00:00
7027,0.06745629997742641,2021-09-16 20:00:00+00:00
7028,0.06764586238803172,2021-09-17 20:00:00+00:00
7029,0.06769915380760874,2021-09-20 20:00:00+00:00
7030,0.0680503053632638,2021-09-21 20:00:00+00:00
7031,0.06822221113417215,2021-09-22 20:00:00+00:00
7032,0.06822673047640877,2021-09-23 20:00:00+00:00
7033,0.06822684444072467,2021-09-24 20:00:00+00:00
7034,0.06823080637109849,2021-09-27 20:00:00+00:00
7035,0.06833227303469595,2021-09-28 20:00:00+00:00
7036,0.0684562784575413,2021-09-29 20:00:00+00:00
7037,0.06850410670857841,2021-09-30 20:00:00+00:00
7038,0.06854344215678286,2021-10-01 20:00:00+00:00
7039,0.06856157795880345,2021-10-04 20:00:00+00:00
7040,0.0685641578228919,2021-10-05 20:00:00+00:00
7041,0.06856341400349271,2021-10-06 20:00:00+00:00
7042,0.06856203588395615,2021-10-07 20:00:00+00:00
7043,0.06864618545456816,2021-10-08 20:00:00+00:00
7044,0.06865812638801375,2021-10-11 20:00:00+00:00
7045,0.06865785352446481,2021-10-12 20:00:00+00:00
7046,0.06867765564796177,2021-10-13 20:00:00+00:00
7047,0.06877426022371051,2021-10-14 20:00:00+00:00
7048,0.06877344166229468,2021-10-15 20:00:00+00:00
