,volume_log,vol
75,12.308232060768649,0.022768406091912087
74,12.308232060768649,0.022768406091912087
73,12.308232060768649,0.022768406091912087
77,12.308232060768649,0.022768406091912087
72,11.536017313997588,0.029978489860469557
71,11.536017313997588,0.029978489860469557
70,11.536017313997588,0.029978489860469557
69,9.851346162827914,0.03228870732592128
68,9.851346162827914,0.03228870732592128
67,9.851346162827914,0.03228870732592128
66,9.851346162827914,0.03228870732592128
65,9.375059163502177,0.03810807964168221
64,9.375059163502177,0.03810807964168221
63,9.375059163502177,0.03810807964168221
60,9.415334050323024,0.04006559077931508
59,9.415334050323024,0.04006559077931508
62,9.415334050323024,0.04006559077931508
61,9.415334050323024,0.04006559077931508
58,9.221536142424268,0.0428418149156823
57,17.563494373786813,0.043187253773249806
56,8.648185859478644,0.04949047375410945
55,11.571635540293945,0.053155253320097205
54,11.571635540293945,0.053155253320097205
53,12.585220337299049,0.053677998200028436
52,13.519177863421998,0.05378129579576947
51,18.04265932433196,0.054253821153331834
50,13.954233473610934,0.058546785038478294
49,15.234846450825646,0.0598221296273235
48,12.911833539675252,0.059903221237774446
47,8.55326692892421,0.06091554213774625
46,12.528455726631732,0.06380506864547107
45,9.514375182841931,0.06394809759960475
44,11.59506936237789,0.06586214059759504
43,13.631358281077828,0.06754478534912796
42,13.341530379061357,0.06785698584091526
41,12.371177031036455,0.06795449996833623
40,12.131893714689713,0.06872238397633107
39,14.728310442193528,0.06968240086909573
38,11.67961473289586,0.0710688484900124
37,12.386429297537465,0.07124588265389674
36,10.564162509874656,0.07156269958121766
35,12.798519568485919,0.0719916394444626
34,12.633219709044688,0.07210615986102836
33,11.940843145773638,0.0729536978760135
32,10.768922201379285,0.07334691713529656
31,13.853134619491698,0.07380968290071345
30,13.045426712465588,0.0744528665671276
29,10.995417624842593,0.07534027663243817
28,14.2689543966234,0.0754575737992458
27,10.887498421834735,0.07676745753297096
26,11.85196465414787,0.07794463885911415
25,13.22558949425275,0.07961746122360813
24,13.164071958438587,0.08009706763866796
23,13.334046401096703,0.08074802726518962
22,8.9508837212998,0.08116912533702791
21,10.13816618426492,0.08128273359165065
20,10.13816618426492,0.08128273359165065
19,14.444977590852048,0.08237831742836815
18,10.868553717042635,0.08303585419678831
17,10.408137856201298,0.08407828026547391
16,14.955733862385502,0.08423611481860366
15,11.654422660418211,0.08515234725639698
14,12.815628207057014,0.08626231347139968
13,9.556364112404877,0.08817201046349994
12,12.005793305811705,0.08824115185792256
11,12.197504099608418,0.08862287414961993
10,11.953759257068938,0.08926993928351622
9,10.653663248666273,0.08993651381487128
8,12.96979234232111,0.09283611855697901
7,13.33239227630045,0.09368731112191209
6,13.933360710224289,0.09394255630614262
5,11.69610488219668,0.09995110691281295
4,12.575283822113047,0.10249175110553736
3,10.663304500264534,0.11223636549256003
2,13.837859339175393,0.11986107271941433
1,13.14753179233274,0.1250975883548866
0,10.457051210090258,0.1876562678345827
