,vol,Date_utc
7984,,2018-11-05 21:00:00+00:00
7985,,2018-11-06 21:00:00+00:00
7986,,2018-11-07 21:00:00+00:00
7987,,2018-11-08 21:00:00+00:00
7988,,2018-11-09 21:00:00+00:00
7989,,2018-11-12 21:00:00+00:00
7990,,2018-11-13 21:00:00+00:00
7991,,2018-11-14 21:00:00+00:00
7992,,2018-11-15 21:00:00+00:00
7993,,2018-11-16 21:00:00+00:00
7994,,2018-11-19 21:00:00+00:00
7995,,2018-11-20 21:00:00+00:00
7996,,2018-11-21 21:00:00+00:00
7997,,2018-11-23 21:00:00+00:00
7998,,2018-11-26 21:00:00+00:00
7999,,2018-11-27 21:00:00+00:00
8000,,2018-11-28 21:00:00+00:00
8001,,2018-11-29 21:00:00+00:00
8002,,2018-11-30 21:00:00+00:00
8003,,2018-12-03 21:00:00+00:00
8004,,2018-12-04 21:00:00+00:00
8005,,2018-12-06 21:00:00+00:00
8006,,2018-12-07 21:00:00+00:00
8007,,2018-12-10 21:00:00+00:00
8008,,2018-12-11 21:00:00+00:00
8009,,2018-12-12 21:00:00+00:00
8010,,2018-12-13 21:00:00+00:00
8011,,2018-12-14 21:00:00+00:00
8012,,2018-12-17 21:00:00+00:00
8013,,2018-12-18 21:00:00+00:00
8014,,2018-12-19 21:00:00+00:00
8015,,2018-12-20 21:00:00+00:00
8016,,2018-12-21 21:00:00+00:00
8017,,2018-12-24 21:00:00+00:00
8018,,2018-12-26 21:00:00+00:00
8019,,2018-12-27 21:00:00+00:00
8020,,2018-12-28 21:00:00+00:00
8021,,2018-12-31 21:00:00+00:00
8022,,2019-01-02 21:00:00+00:00
8023,,2019-01-03 21:00:00+00:00
8024,,2019-01-04 21:00:00+00:00
8025,,2019-01-07 21:00:00+00:00
8026,,2019-01-08 21:00:00+00:00
8027,,2019-01-09 21:00:00+00:00
8028,,2019-01-10 21:00:00+00:00
8029,,2019-01-11 21:00:00+00:00
8030,,2019-01-14 21:00:00+00:00
8031,,2019-01-15 21:00:00+00:00
8032,,2019-01-16 21:00:00+00:00
8033,,2019-01-17 21:00:00+00:00
8034,,2019-01-18 21:00:00+00:00
8035,,2019-01-22 21:00:00+00:00
8036,,2019-01-23 21:00:00+00:00
8037,,2019-01-24 21:00:00+00:00
8038,,2019-01-25 21:00:00+00:00
8039,,2019-01-28 21:00:00+00:00
8040,,2019-01-29 21:00:00+00:00
8041,,2019-01-30 21:00:00+00:00
8042,,2019-01-31 21:00:00+00:00
8043,,2019-02-01 21:00:00+00:00
8044,,2019-02-04 21:00:00+00:00
8045,,2019-02-05 21:00:00+00:00
8046,,2019-02-06 21:00:00+00:00
8047,,2019-02-07 21:00:00+00:00
8048,,2019-02-08 21:00:00+00:00
8049,,2019-02-11 21:00:00+00:00
8050,,2019-02-12 21:00:00+00:00
8051,,2019-02-13 21:00:00+00:00
8052,,2019-02-14 21:00:00+00:00
8053,,2019-02-15 21:00:00+00:00
8054,,2019-02-19 21:00:00+00:00
8055,,2019-02-20 21:00:00+00:00
8056,,2019-02-21 21:00:00+00:00
8057,,2019-02-22 21:00:00+00:00
8058,,2019-02-25 21:00:00+00:00
8059,,2019-02-26 21:00:00+00:00
8060,,2019-02-27 21:00:00+00:00
8061,,2019-02-28 21:00:00+00:00
8062,,2019-03-01 21:00:00+00:00
8063,,2019-03-04 21:00:00+00:00
8064,,2019-03-05 21:00:00+00:00
8065,,2019-03-06 21:00:00+00:00
8066,,2019-03-07 21:00:00+00:00
8067,,2019-03-08 21:00:00+00:00
8068,,2019-03-11 20:00:00+00:00
8069,,2019-03-12 20:00:00+00:00
8070,,2019-03-13 20:00:00+00:00
8071,,2019-03-14 20:00:00+00:00
8072,,2019-03-15 20:00:00+00:00
8073,,2019-03-18 20:00:00+00:00
8074,,2019-03-19 20:00:00+00:00
8075,,2019-03-20 20:00:00+00:00
8076,,2019-03-21 20:00:00+00:00
8077,,2019-03-22 20:00:00+00:00
8078,,2019-03-25 20:00:00+00:00
8079,,2019-03-26 20:00:00+00:00
8080,,2019-03-27 20:00:00+00:00
8081,,2019-03-28 20:00:00+00:00
8082,,2019-03-29 20:00:00+00:00
8083,,2019-04-01 20:00:00+00:00
8084,,2019-04-02 20:00:00+00:00
8085,,2019-04-03 20:00:00+00:00
8086,,2019-04-04 20:00:00+00:00
8087,,2019-04-05 20:00:00+00:00
8088,,2019-04-08 20:00:00+00:00
8089,,2019-04-09 20:00:00+00:00
8090,,2019-04-10 20:00:00+00:00
8091,,2019-04-11 20:00:00+00:00
8092,,2019-04-12 20:00:00+00:00
8093,0.03115899672033718,2019-04-15 20:00:00+00:00
8094,0.031102782918283008,2019-04-16 20:00:00+00:00
8095,0.031177051084875854,2019-04-17 20:00:00+00:00
8096,0.031180826913772428,2019-04-18 20:00:00+00:00
8097,0.030931740080359496,2019-04-22 20:00:00+00:00
8098,0.030922169999778825,2019-04-23 20:00:00+00:00
8099,0.03092689627109764,2019-04-24 20:00:00+00:00
8100,0.030818418716721904,2019-04-25 20:00:00+00:00
8101,0.03079520791524807,2019-04-26 20:00:00+00:00
8102,0.03079630325594805,2019-04-29 20:00:00+00:00
8103,0.030816901957173886,2019-04-30 20:00:00+00:00
8104,0.030833091260116095,2019-05-01 20:00:00+00:00
8105,0.030804406605392028,2019-05-02 20:00:00+00:00
8106,0.030851749939977687,2019-05-03 20:00:00+00:00
8107,0.03085554594819792,2019-05-06 20:00:00+00:00
8108,0.031014738572477087,2019-05-07 20:00:00+00:00
8109,0.03090139102965329,2019-05-08 20:00:00+00:00
8110,0.030902016200043764,2019-05-09 20:00:00+00:00
8111,0.030713314053194267,2019-05-10 20:00:00+00:00
8112,0.03082700650049408,2019-05-13 20:00:00+00:00
8113,0.03093399664739344,2019-05-14 20:00:00+00:00
8114,0.03083540760652118,2019-05-15 20:00:00+00:00
8115,0.03079375538653454,2019-05-16 20:00:00+00:00
8116,0.03082450886680757,2019-05-17 20:00:00+00:00
8117,0.03082745145153747,2019-05-20 20:00:00+00:00
8118,0.030556060662011917,2019-05-21 20:00:00+00:00
8119,0.03053642175515413,2019-05-22 20:00:00+00:00
8120,0.030420490843407023,2019-05-23 20:00:00+00:00
8121,0.030399349649542048,2019-05-24 20:00:00+00:00
8122,0.03032234402811411,2019-05-28 20:00:00+00:00
8123,0.030269545679704444,2019-05-29 20:00:00+00:00
8124,0.030197110807322382,2019-05-30 20:00:00+00:00
8125,0.03013609803347108,2019-05-31 20:00:00+00:00
8126,0.030784847354644505,2019-06-03 20:00:00+00:00
8127,0.030931658305225873,2019-06-04 20:00:00+00:00
8128,0.030935376760468945,2019-06-05 20:00:00+00:00
8129,0.03098366124118706,2019-06-06 20:00:00+00:00
8130,0.031900278895326394,2019-06-07 20:00:00+00:00
8131,0.03150726756340174,2019-06-10 20:00:00+00:00
8132,0.03151172926384436,2019-06-11 20:00:00+00:00
8133,0.03138414814827096,2019-06-12 20:00:00+00:00
8134,0.031337716171225806,2019-06-13 20:00:00+00:00
8135,0.03105307990158284,2019-06-14 20:00:00+00:00
8136,0.031112542249192566,2019-06-17 20:00:00+00:00
8137,0.03112512283003726,2019-06-18 20:00:00+00:00
8138,0.031120119290592035,2019-06-19 20:00:00+00:00
8139,0.03118825025360496,2019-06-20 20:00:00+00:00
8140,0.031113375408502515,2019-06-21 20:00:00+00:00
8141,0.031191412786928316,2019-06-24 20:00:00+00:00
8142,0.031223943768831156,2019-06-25 20:00:00+00:00
8143,0.03103289577317579,2019-06-26 20:00:00+00:00
8144,0.031064605739290208,2019-06-27 20:00:00+00:00
8145,0.030804746875905474,2019-06-28 20:00:00+00:00
8146,0.03082859515623622,2019-07-01 20:00:00+00:00
8147,0.030838979377397345,2019-07-02 20:00:00+00:00
8148,0.03082021543963136,2019-07-03 20:00:00+00:00
8149,0.030800527889692862,2019-07-05 20:00:00+00:00
8150,0.030795391964236297,2019-07-08 20:00:00+00:00
8151,0.030797360739221697,2019-07-09 20:00:00+00:00
8152,0.030537494709560898,2019-07-10 20:00:00+00:00
8153,0.030622011020959166,2019-07-11 20:00:00+00:00
8154,0.03061303623516059,2019-07-12 20:00:00+00:00
8155,0.030615053267456862,2019-07-15 20:00:00+00:00
8156,0.030608646436935484,2019-07-16 20:00:00+00:00
8157,0.03040427704138524,2019-07-17 20:00:00+00:00
8158,0.03028596087131936,2019-07-18 20:00:00+00:00
8159,0.03021674124153746,2019-07-19 20:00:00+00:00
8160,0.02999608273077267,2019-07-22 20:00:00+00:00
8161,0.029931928325609477,2019-07-23 20:00:00+00:00
8162,0.029790429609267144,2019-07-24 20:00:00+00:00
8163,0.029873273049332988,2019-07-25 20:00:00+00:00
8164,0.02995524320552925,2019-07-26 20:00:00+00:00
8165,0.029954432677200254,2019-07-29 20:00:00+00:00
8166,0.029859446081075693,2019-07-30 20:00:00+00:00
8167,0.029912445643729614,2019-07-31 20:00:00+00:00
8168,0.02993096110902503,2019-08-01 20:00:00+00:00
8169,0.02990673086739882,2019-08-02 20:00:00+00:00
8170,0.03033558968706155,2019-08-05 20:00:00+00:00
8171,0.030314163298836107,2019-08-06 20:00:00+00:00
8172,0.03018928403549851,2019-08-07 20:00:00+00:00
8173,0.03021916710701725,2019-08-08 20:00:00+00:00
8174,0.030244112927304632,2019-08-09 20:00:00+00:00
8175,0.0302023442753834,2019-08-12 20:00:00+00:00
8176,0.030227855937806535,2019-08-13 20:00:00+00:00
8177,0.030318448855805754,2019-08-14 20:00:00+00:00
8178,0.03030960649378765,2019-08-15 20:00:00+00:00
8179,0.0302860680524234,2019-08-16 20:00:00+00:00
8180,0.03017169207130911,2019-08-19 20:00:00+00:00
8181,0.030070932508911016,2019-08-20 20:00:00+00:00
8182,0.02996915685459298,2019-08-21 20:00:00+00:00
8183,0.02992454783075701,2019-08-22 20:00:00+00:00
8184,0.029468047022101627,2019-08-23 20:00:00+00:00
8185,0.0295112222344759,2019-08-26 20:00:00+00:00
8186,0.029324303722377276,2019-08-27 20:00:00+00:00
8187,0.029341241693478116,2019-08-28 20:00:00+00:00
8188,0.029119585633025948,2019-08-29 20:00:00+00:00
8189,0.029052433293653264,2019-08-30 20:00:00+00:00
8190,0.02899529645608051,2019-09-03 20:00:00+00:00
8191,0.028933507154396212,2019-09-04 20:00:00+00:00
8192,0.02892589046839693,2019-09-05 20:00:00+00:00
8193,0.032066522380763726,2019-09-06 20:00:00+00:00
8194,0.032164717528380446,2019-09-09 20:00:00+00:00
8195,0.0321939718857672,2019-09-10 20:00:00+00:00
8196,0.03237720899141168,2019-09-11 20:00:00+00:00
8197,0.03232642877625194,2019-09-12 20:00:00+00:00
8198,0.032311500329915754,2019-09-13 20:00:00+00:00
8199,0.03231811720899267,2019-09-16 20:00:00+00:00
8200,0.03231592109257934,2019-09-17 20:00:00+00:00
8201,0.03200927102729547,2019-09-18 20:00:00+00:00
