id,volume_log,corr
nct,12.308232060768649,-0.0069055573912565294
nct,12.308232060768649,-0.0069055573912565294
dai,12.211601489440799,0.05298638311116411
knc,12.96979234232111,0.12394361869075539
fox,9.851346162827914,0.12483478288146722
fox,9.851346162827914,0.12483478288146722
fox,9.851346162827914,0.12483478288146722
fox,9.851346162827914,0.12483478288146722
farm,10.13816618426492,0.12614599518857664
farm,10.13816618426492,0.12614599518857664
arpa,9.415334050323024,0.13314560045425197
arpa,9.415334050323024,0.13314560045425197
arpa,9.415334050323024,0.13314560045425197
arpa,9.415334050323024,0.13314560045425197
nu,10.457051210090258,0.1542480112341181
uma,11.654422660418211,0.1681041500948621
ctsi,10.663304500264534,0.1726794782815338
lrc,13.14753179233274,0.1783768079916757
auction,9.375059163502177,0.17977432466652463
auction,9.375059163502177,0.17977432466652463
auction,9.375059163502177,0.17977432466652463
mir,10.564162509874656,0.18664939365811944
usdt,15.20896541275804,0.19010579139293574
ankr,11.940843145773638,0.19877021134516004
nmr,9.514375182841931,0.20251278821062033
oxt,10.995417624842593,0.20431938026282348
forth,9.556364112404877,0.20858545917908122
omg,11.85196465414787,0.211571637140734
ogn,11.69610488219668,0.21378093258056038
yfi,13.631358281077828,0.22064285936195194
storj,10.408137856201298,0.23228043825026085
mana,13.837859339175393,0.23337849118563486
skl,12.575283822113047,0.23496354573893444
cgld,12.005793305811705,0.23644223725234928
rep,8.55326692892421,0.24585592120111185
1inch,10.887498421834735,0.2474956337591258
fet,11.571635540293945,0.2494680029935845
fet,11.571635540293945,0.2494680029935845
zrx,13.045426712465588,0.25120326341289917
atom,14.444977590852048,0.2559646171433955
rlc,10.868553717042635,0.2677571489679984
nkn,10.653663248666273,0.27306061961258776
dash,11.59506936237789,0.27388050517876966
fil,12.798519568485919,0.27728868106093196
bat,12.131893714689713,0.2795259308971054
icp,13.33239227630045,0.2819978334693735
zec,12.633219709044688,0.28678311432199743
matic,14.955733862385502,0.28960333633896707
band,10.768922201379285,0.28987664950605296
etc,12.371177031036455,0.2931155192699403
sushi,13.164071958438587,0.29371226263108324
bal,11.67961473289586,0.2944544775029942
ltc,13.954233473610934,0.2963616187209875
eos,12.528455726631732,0.29697621309639355
algo,14.2689543966234,0.29942998234832063
xlm,13.519177863421998,0.3004921534313206
ren,12.197504099608418,0.3038901625267781
crv,11.953759257068938,0.3088501817597192
snx,13.933360710224289,0.3092432536235289
xtz,13.22558949425275,0.311253066770765
trb,8.9508837212998,0.31796113161962014
uni,13.341530379061357,0.3199076856224114
link,14.728310442193528,0.32137858966688954
bch,12.585220337299049,0.3218748215277854
grt,13.853134619491698,0.3228258499400066
enj,12.815628207057014,0.3272805641206302
vgx,11.536017313997588,0.33038916684369285
vgx,11.536017313997588,0.33038916684369285
vgx,11.536017313997588,0.33038916684369285
comp,12.386429297537465,0.33206400982847795
ada,15.234846450825646,0.33609203580509256
aave,13.334046401096703,0.34000960729803986
bnt,8.648185859478644,0.37473863819317643
mkr,12.911833539675252,0.38259169212563215
wbtc,9.221536142424268,0.3860000390650433
btc,17.563494373786813,0.3918394731331666
eth,18.04265932433196,0.40526333062710174
