,vol,Date_utc
7833,,2019-06-20 20:00:00+00:00
7834,,2019-06-21 20:00:00+00:00
7835,,2019-06-24 20:00:00+00:00
7836,,2019-06-25 20:00:00+00:00
7837,,2019-06-26 20:00:00+00:00
7838,,2019-06-27 20:00:00+00:00
7839,,2019-06-28 20:00:00+00:00
7840,,2019-07-01 20:00:00+00:00
7841,,2019-07-02 20:00:00+00:00
7842,,2019-07-03 20:00:00+00:00
7843,,2019-07-05 20:00:00+00:00
7844,,2019-07-08 20:00:00+00:00
7845,,2019-07-09 20:00:00+00:00
7846,,2019-07-10 20:00:00+00:00
7847,,2019-07-11 20:00:00+00:00
7848,,2019-07-12 20:00:00+00:00
7849,,2019-07-15 20:00:00+00:00
7850,,2019-07-16 20:00:00+00:00
7851,,2019-07-17 20:00:00+00:00
7852,,2019-07-18 20:00:00+00:00
7853,,2019-07-19 20:00:00+00:00
7854,,2019-07-22 20:00:00+00:00
7855,,2019-07-23 20:00:00+00:00
7856,,2019-07-24 20:00:00+00:00
7857,,2019-07-25 20:00:00+00:00
7858,,2019-07-26 20:00:00+00:00
7859,,2019-07-29 20:00:00+00:00
7860,,2019-07-30 20:00:00+00:00
7861,,2019-07-31 20:00:00+00:00
7862,,2019-08-01 20:00:00+00:00
7863,,2019-08-02 20:00:00+00:00
7864,,2019-08-05 20:00:00+00:00
7865,,2019-08-06 20:00:00+00:00
7866,,2019-08-07 20:00:00+00:00
7867,,2019-08-08 20:00:00+00:00
7868,,2019-08-09 20:00:00+00:00
7869,,2019-08-12 20:00:00+00:00
7870,,2019-08-13 20:00:00+00:00
7871,,2019-08-14 20:00:00+00:00
7872,,2019-08-15 20:00:00+00:00
7873,,2019-08-16 20:00:00+00:00
7874,,2019-08-19 20:00:00+00:00
7875,,2019-08-20 20:00:00+00:00
7876,,2019-08-21 20:00:00+00:00
7877,,2019-08-22 20:00:00+00:00
7878,,2019-08-23 20:00:00+00:00
7879,,2019-08-26 20:00:00+00:00
7880,,2019-08-27 20:00:00+00:00
7881,,2019-08-28 20:00:00+00:00
7882,,2019-08-29 20:00:00+00:00
7883,,2019-08-30 20:00:00+00:00
7884,,2019-09-03 20:00:00+00:00
7885,,2019-09-04 20:00:00+00:00
7886,,2019-09-05 20:00:00+00:00
7887,,2019-09-06 20:00:00+00:00
7888,,2019-09-09 20:00:00+00:00
7889,,2019-09-10 20:00:00+00:00
7890,,2019-09-11 20:00:00+00:00
7891,,2019-09-12 20:00:00+00:00
7892,,2019-09-13 20:00:00+00:00
7893,,2019-09-16 20:00:00+00:00
7894,,2019-09-17 20:00:00+00:00
7895,,2019-09-18 20:00:00+00:00
7896,,2019-09-19 20:00:00+00:00
7897,,2019-09-20 20:00:00+00:00
7898,,2019-09-23 20:00:00+00:00
7899,,2019-09-24 20:00:00+00:00
7900,,2019-09-25 20:00:00+00:00
7901,,2019-09-26 20:00:00+00:00
7902,,2019-09-27 20:00:00+00:00
7903,,2019-09-30 20:00:00+00:00
7904,,2019-10-01 20:00:00+00:00
7905,,2019-10-02 20:00:00+00:00
7906,,2019-10-03 20:00:00+00:00
7907,,2019-10-04 20:00:00+00:00
7908,,2019-10-07 20:00:00+00:00
7909,,2019-10-08 20:00:00+00:00
7910,,2019-10-09 20:00:00+00:00
7911,,2019-10-10 20:00:00+00:00
7912,,2019-10-11 20:00:00+00:00
7913,,2019-10-14 20:00:00+00:00
7914,,2019-10-15 20:00:00+00:00
7915,,2019-10-16 20:00:00+00:00
7916,,2019-10-17 20:00:00+00:00
7917,,2019-10-18 20:00:00+00:00
7918,,2019-10-21 20:00:00+00:00
7919,,2019-10-22 20:00:00+00:00
7920,,2019-10-23 20:00:00+00:00
7921,,2019-10-24 20:00:00+00:00
7922,,2019-10-25 20:00:00+00:00
7923,,2019-10-28 20:00:00+00:00
7924,,2019-10-29 20:00:00+00:00
7925,,2019-10-30 20:00:00+00:00
7926,,2019-10-31 20:00:00+00:00
7927,,2019-11-01 20:00:00+00:00
7928,,2019-11-04 21:00:00+00:00
7929,,2019-11-05 21:00:00+00:00
7930,,2019-11-06 21:00:00+00:00
7931,,2019-11-07 21:00:00+00:00
7932,,2019-11-08 21:00:00+00:00
7933,,2019-11-11 21:00:00+00:00
7934,,2019-11-12 21:00:00+00:00
7935,,2019-11-13 21:00:00+00:00
7936,,2019-11-14 21:00:00+00:00
7937,,2019-11-15 21:00:00+00:00
7938,,2019-11-18 21:00:00+00:00
7939,,2019-11-19 21:00:00+00:00
7940,,2019-11-20 21:00:00+00:00
7941,,2019-11-21 21:00:00+00:00
7942,0.03990532422211387,2019-11-22 21:00:00+00:00
7943,0.039962314006906245,2019-11-25 21:00:00+00:00
7944,0.039877589707978105,2019-11-26 21:00:00+00:00
7945,0.03981018964534623,2019-11-27 21:00:00+00:00
7946,0.039809810211123356,2019-11-29 21:00:00+00:00
7947,0.03982709416555789,2019-12-02 21:00:00+00:00
7948,0.03984306240803461,2019-12-03 21:00:00+00:00
7949,0.039843157750458325,2019-12-04 21:00:00+00:00
7950,0.03976421619347842,2019-12-05 21:00:00+00:00
7951,0.040032284060462726,2019-12-06 21:00:00+00:00
7952,0.0397959588156677,2019-12-09 21:00:00+00:00
7953,0.039741814017111146,2019-12-10 21:00:00+00:00
7954,0.03967456502971958,2019-12-11 21:00:00+00:00
7955,0.03933269577012758,2019-12-12 21:00:00+00:00
7956,0.03926740409393137,2019-12-13 21:00:00+00:00
7957,0.03895205049582059,2019-12-16 21:00:00+00:00
7958,0.038953568821699765,2019-12-17 21:00:00+00:00
7959,0.03895332369637668,2019-12-18 21:00:00+00:00
7960,0.038577764081848785,2019-12-19 21:00:00+00:00
7961,0.038504308538060854,2019-12-20 21:00:00+00:00
7962,0.03841998563860038,2019-12-23 21:00:00+00:00
7963,0.03834194274565395,2019-12-24 21:00:00+00:00
7964,0.03833964585895787,2019-12-26 21:00:00+00:00
7965,0.038308992226061184,2019-12-27 21:00:00+00:00
7966,0.03832893541716187,2019-12-30 21:00:00+00:00
7967,0.03835820153467071,2019-12-31 21:00:00+00:00
7968,0.03835173240707522,2020-01-02 21:00:00+00:00
7969,0.03837122671865455,2020-01-03 21:00:00+00:00
7970,0.038437627044230455,2020-01-06 21:00:00+00:00
7971,0.03820346693114102,2020-01-07 21:00:00+00:00
7972,0.03806787125117,2020-01-08 21:00:00+00:00
7973,0.03808617421534967,2020-01-09 21:00:00+00:00
7974,0.038151642306944566,2020-01-10 21:00:00+00:00
7975,0.03826706594815566,2020-01-13 21:00:00+00:00
7976,0.03827326184838305,2020-01-14 21:00:00+00:00
7977,0.03822246301451962,2020-01-15 21:00:00+00:00
7978,0.03779787049536959,2020-01-16 21:00:00+00:00
7979,0.03778721452152627,2020-01-17 21:00:00+00:00
7980,0.03779755618023991,2020-01-21 21:00:00+00:00
7981,0.03775991739029112,2020-01-22 21:00:00+00:00
7982,0.03763009087859285,2020-01-23 21:00:00+00:00
7983,0.03743799164432381,2020-01-24 21:00:00+00:00
7984,0.0375913988521581,2020-01-27 21:00:00+00:00
7985,0.037606043786933344,2020-01-28 21:00:00+00:00
7986,0.037937018754122837,2020-01-29 21:00:00+00:00
7987,0.037954247289511474,2020-01-30 21:00:00+00:00
7988,0.03778888295121201,2020-01-31 21:00:00+00:00
7989,0.03734571287784377,2020-02-03 21:00:00+00:00
7990,0.037329399962782735,2020-02-04 21:00:00+00:00
7991,0.03730877401644199,2020-02-05 21:00:00+00:00
7992,0.037263853854761476,2020-02-06 21:00:00+00:00
7993,0.03876347947837701,2020-02-07 21:00:00+00:00
7994,0.038363272616043775,2020-02-10 21:00:00+00:00
7995,0.038404296381508406,2020-02-11 21:00:00+00:00
7996,0.03880589124382067,2020-02-12 21:00:00+00:00
7997,0.03877887944273856,2020-02-13 21:00:00+00:00
7998,0.038767685264750024,2020-02-14 21:00:00+00:00
7999,0.03862498210475819,2020-02-18 21:00:00+00:00
8000,0.038617786246836774,2020-02-19 21:00:00+00:00
8001,0.03857806502664999,2020-02-20 21:00:00+00:00
8002,0.03859303664639809,2020-02-21 21:00:00+00:00
8003,0.03859925741858105,2020-02-24 21:00:00+00:00
8004,0.04250026406319903,2020-02-25 21:00:00+00:00
8005,0.04474446813478521,2020-02-26 21:00:00+00:00
8006,0.04520080161732545,2020-02-27 21:00:00+00:00
